image_path,score
Healthy/loh(1).JPG,10.0
Healthy/loh(10).JPG,10.0
Healthy/loh(100).JPG,10.0
Healthy/loh(101).JPG,10.0
Healthy/loh(102).JPG,10.0
Healthy/loh(11).JPG,10.0
Healthy/loh(12).JPG,10.0
Healthy/loh(13).JPG,9.0
Healthy/loh(14).JPG,7.0
Healthy/loh(15).JPG,10.0
Healthy/loh(16).JPG,6.0
Healthy/loh(17).JPG,8.0
Healthy/loh(18).JPG,8.0
Healthy/loh(19).JPG,9.0
Healthy/loh(2).JPG,9.0
Healthy/loh(20).JPG,6.0
Healthy/loh(21).JPG,5.0
Healthy/loh(22).JPG,9.0
Healthy/loh(23).JPG,9.0
Healthy/loh(24).JPG,9.0
Healthy/loh(25).JPG,7.0
Healthy/loh(26).JPG,9.0
Healthy/loh(27).JPG,9.0
Healthy/loh(28).JPG,10.0
Healthy/loh(29).JPG,10.0
Healthy/loh(3).JPG,9.0
Healthy/loh(30).JPG,9.0
Healthy/loh(31).JPG,10.0
Healthy/loh(32).JPG,10.0
Healthy/loh(34).JPG,6.0
Healthy/loh(35).JPG,6.0
Healthy/loh(36).JPG,6.0
Healthy/loh(37).JPG,5.0
Healthy/loh(38).JPG,10.0
Healthy/loh(39).JPG,10.0
Healthy/loh(4).JPG,10.0
Healthy/loh(40).JPG,10.0
Healthy/loh(41).JPG,9.0
Healthy/loh(42).JPG,9.0
Healthy/loh(43).JPG,9.0
Healthy/loh(44).JPG,9.0
Healthy/loh(45).JPG,9.0
Healthy/loh(46).JPG,9.0
Healthy/loh(47).JPG,9.0
Healthy/loh(48).JPG,10.0
Healthy/loh(49).JPG,10.0
Healthy/loh(5).JPG,10.0
Healthy/loh(50).JPG,10.0
Healthy/loh(51).JPG,10.0
Healthy/loh(52).JPG,10.0
Healthy/loh(54).JPG,9.0
Healthy/loh(55).JPG,8.0
Healthy/loh(56).JPG,7.0
Healthy/loh(57).JPG,10.0
Healthy/loh(58).JPG,10.0
Healthy/loh(59).JPG,10.0
Healthy/loh(6).JPG,10.0
Healthy/loh(60).JPG,10.0
Healthy/loh(61).JPG,10.0
Healthy/loh(62).JPG,10.0
Healthy/loh(63).JPG,10.0
Healthy/loh(64).JPG,10.0
Healthy/loh(65).JPG,10.0
Healthy/loh(66).JPG,10.0
Healthy/loh(67).JPG,10.0
Healthy/loh(68).JPG,10.0
Healthy/loh(69).JPG,10.0
Healthy/loh(7).JPG,10.0
Healthy/loh(70).JPG,10.0
Healthy/loh(72).JPG,9.0
Healthy/loh(73).JPG,9.0
Healthy/loh(74).JPG,10.0
Healthy/loh(75).JPG,10.0
Healthy/loh(76).JPG,10.0
Healthy/loh(77).JPG,10.0
Healthy/loh(78).JPG,10.0
Healthy/loh(79).JPG,10.0
Healthy/loh(8).JPG,10.0
Healthy/loh(80).JPG,7.0
Healthy/loh(81).JPG,9.0
Healthy/loh(82).JPG,9.0
Healthy/loh(83).JPG,9.0
Healthy/loh(84).JPG,10.0
Healthy/loh(85).JPG,10.0
Healthy/loh(86).JPG,10.0
Healthy/loh(87).JPG,10.0
Healthy/loh(88).JPG,10.0
Healthy/loh(89).JPG,8.0
Healthy/loh(9).JPG,8.0
Healthy/loh(90).JPG,10.0
Healthy/loh(91).JPG,10.0
Healthy/loh(92).JPG,10.0
Healthy/loh(93).JPG,10.0
Healthy/loh(94).JPG,9.0
Healthy/loh(95).JPG,9.0
Healthy/loh(96).JPG,9.0
Healthy/loh(97).JPG,9.0
Healthy/loh(98).JPG,8.0
Healthy/loh(99).JPG,8.0
septoria/los(1).JPG,4.0
septoria/los(11).JPG,4.0
septoria/los(13).JPG,5.0
septoria/los(15).JPG,3.0
septoria/los(17).JPG,1.0
septoria/los(19).JPG,2.0
septoria/los(20).JPG,3.0
septoria/los(22).JPG,4.0
septoria/los(24).JPG,2.0
septoria/los(26).JPG,4.0
septoria/los(28).JPG,5.0
septoria/los(3).JPG,4.0
septoria/los(31).JPG,4.0
septoria/los(33).JPG,4.0
septoria/los(35).JPG,4.0
septoria/los(37).JPG,4.0
septoria/los(39).JPG,4.0
septoria/los(40).JPG,4.0
septoria/los(42).JPG,4.0
septoria/los(44).JPG,4.0
septoria/los(46).JPG,5.0
septoria/los(48).JPG,4.0
septoria/los(5).JPG,2.0
septoria/los(51).JPG,3.0
septoria/los(53).JPG,4.0
septoria/los(55).JPG,2.0
septoria/los(57).JPG,2.0
septoria/los(59).JPG,2.0
septoria/los(60).JPG,4.0
septoria/los(62).JPG,4.0
septoria/los(64).JPG,3.0
septoria/los(66).JPG,3.0
septoria/los(68).JPG,4.0
septoria/los(7).JPG,2.0
septoria/los(71).JPG,2.0
septoria/los(73).JPG,1.0
septoria/los(75).JPG,1.0
septoria/los(77).JPG,1.0
septoria/los(79).JPG,1.0
septoria/los(80).JPG,2.0
septoria/los(82).JPG,1.0
septoria/los(84).JPG,1.0
septoria/los(86).JPG,1.0
septoria/los(88).JPG,1.0
septoria/los(9).JPG,1.0
septoria/los(91).JPG,1.0
septoria/los(93).JPG,1.0
septoria/los(95).JPG,2.0
septoria/los(97).JPG,2.0
stripe_rust/lolr(1).JPG,6.0
stripe_rust/lolr(100).JPG,6.0
stripe_rust/lolr(102).JPG,5.0
stripe_rust/lolr(104).JPG,6.0
stripe_rust/lolr(106).JPG,6.0
stripe_rust/lolr(108).JPG,6.0
stripe_rust/lolr(11).JPG,6.0
stripe_rust/lolr(111).JPG,5.0
stripe_rust/lolr(113).JPG,5.0
stripe_rust/lolr(115).JPG,6.0
stripe_rust/lolr(117).JPG,5.0
stripe_rust/lolr(119).JPG,4.0
stripe_rust/lolr(120).JPG,7.0
stripe_rust/lolr(122).JPG,7.0
stripe_rust/lolr(124).JPG,6.0
stripe_rust/lolr(126).JPG,7.0
stripe_rust/lolr(128).JPG,8.0
stripe_rust/lolr(13).JPG,7.0
stripe_rust/lolr(131).JPG,5.0
stripe_rust/lolr(133).JPG,6.0
stripe_rust/lolr(135).JPG,6.0
stripe_rust/lolr(137).JPG,7.0
stripe_rust/lolr(139).JPG,7.0
stripe_rust/lolr(140).JPG,6.0
stripe_rust/lolr(142).JPG,5.0
stripe_rust/lolr(144).JPG,5.0
stripe_rust/lolr(146).JPG,5.0
stripe_rust/lolr(148).JPG,5.0
stripe_rust/lolr(15).JPG,4.0
stripe_rust/lolr(151).JPG,6.0
stripe_rust/lolr(153).JPG,6.0
stripe_rust/lolr(155).JPG,7.0
stripe_rust/lolr(157).JPG,6.0
stripe_rust/lolr(159).JPG,6.0
stripe_rust/lolr(160).JPG,6.0
stripe_rust/lolr(162).JPG,6.0
stripe_rust/lolr(164).JPG,5.0
stripe_rust/lolr(166).JPG,5.0
stripe_rust/lolr(168).JPG,4.0
stripe_rust/lolr(17).JPG,6.0
stripe_rust/lolr(171).JPG,4.0
stripe_rust/lolr(173).JPG,6.0
stripe_rust/lolr(175).JPG,7.0
stripe_rust/lolr(177).JPG,7.0
stripe_rust/lolr(179).JPG,6.0
stripe_rust/lolr(180).JPG,7.0
stripe_rust/lolr(182).JPG,7.0
stripe_rust/lolr(184).JPG,7.0
stripe_rust/lolr(186).JPG,7.0
stripe_rust/lolr(188).JPG,6.0
stripe_rust/lolr(19).JPG,6.0
stripe_rust/lolr(191).JPG,6.0
stripe_rust/lolr(193).JPG,5.0
stripe_rust/lolr(195).JPG,5.0
stripe_rust/lolr(197).JPG,4.0
stripe_rust/lolr(199).JPG,5.0
stripe_rust/lolr(20).JPG,4.0
stripe_rust/lolr(201).JPG,3.0
stripe_rust/lolr(203).JPG,4.0
stripe_rust/lolr(205).JPG,3.0
stripe_rust/lolr(207).JPG,4.0
stripe_rust/lolr(21).JPG,5.0
stripe_rust/lolr(23).JPG,5.0
stripe_rust/lolr(25).JPG,6.0
stripe_rust/lolr(27).JPG,5.0
stripe_rust/lolr(29).JPG,4.0
stripe_rust/lolr(30).JPG,3.0
stripe_rust/lolr(32).JPG,2.0
stripe_rust/lolr(34).JPG,5.0
stripe_rust/lolr(36).JPG,5.0
stripe_rust/lolr(38).JPG,4.0
stripe_rust/lolr(4).JPG,4.0
stripe_rust/lolr(41).JPG,3.0
stripe_rust/lolr(43).JPG,4.0
stripe_rust/lolr(45).JPG,5.0
stripe_rust/lolr(47).JPG,4.0
stripe_rust/lolr(49).JPG,4.0
stripe_rust/lolr(50).JPG,4.0
stripe_rust/lolr(52).JPG,4.0
stripe_rust/lolr(54).JPG,5.0
stripe_rust/lolr(56).JPG,5.0
stripe_rust/lolr(58).JPG,3.0
stripe_rust/lolr(6).JPG,6.0
stripe_rust/lolr(61).JPG,4.0
stripe_rust/lolr(63).JPG,4.0
stripe_rust/lolr(65).JPG,4.0
stripe_rust/lolr(67).JPG,6.0
stripe_rust/lolr(69).JPG,6.0
stripe_rust/lolr(70).JPG,6.0
stripe_rust/lolr(72).JPG,5.0
stripe_rust/lolr(74).JPG,5.0
stripe_rust/lolr(76).JPG,4.0
stripe_rust/lolr(78).JPG,4.0
stripe_rust/lolr(8).JPG,3.0
stripe_rust/lolr(81).JPG,4.0
stripe_rust/lolr(83).JPG,5.0
stripe_rust/lolr(85).JPG,5.0
stripe_rust/lolr(87).JPG,5.0
stripe_rust/lolr(89).JPG,5.0
stripe_rust/lolr(90).JPG,6.0
